"zip","population","city","county","state"
"92869",36429,"Orange","Orange County","California"
"91001",36420,"Altadena","Los Angeles County","California"
"94404",36397,"San Mateo","San Mateo County","California"
"95476",36386,"Sonoma","Sonoma County","California"
"95062",36369,"Santa Cruz","Santa Cruz County","California"
"90277",36339,"Redondo Beach","Los Angeles County","California"
"92551",36326,"Moreno Valley","Riverside County","California"
"90810",36306,"Long Beach","Los Angeles County","California"
"90505",36214,"Torrance","Los Angeles County","California"
"90621",36151,"Buena Park","Orange County","California"
"93012",36145,"Camarillo","Ventura County","California"
"95901",36119,"Marysville","Yuba County","California"
"92807",36117,"Anaheim","Orange County","California"
"95667",36084,"Placerville","El Dorado County","California"
"93657",36053,"Sanger","Fresno County","California"
"95820",36024,"Sacramento","Sacramento County","California"
"92660",35926,"Newport Beach","Orange County","California"
"91104",35918,"Pasadena","Los Angeles County","California"
"95348",35853,"Merced","Merced County","California"
"90049",35819,"Los Angeles","Los Angeles County","California"
"91205",35755,"Glendale","Los Angeles County","California"
"92596",35726,"Winchester","Riverside County","California"
"94040",35667,"Mountain View","Santa Clara County","California"
"91601",35615,"North Hollywood","Los Angeles County","California"
"91915",35608,"Chula Vista","San Diego County","California"
"91780",35556,"Temple City","Los Angeles County","California"
"91325",35537,"Northridge","Los Angeles County","California"
"95660",35458,"North Highlands","Sacramento County","California"
"91768",35443,"Pomona","Los Angeles County","California"
"94401",35392,"San Mateo","San Mateo County","California"
"92131",35227,"San Diego","San Diego County","California"
"92649",35206,"Huntington Beach","Orange County","California"
"94588",35162,"Pleasanton","Alameda County","California"
"90266",35123,"Manhattan Beach","Los Angeles County","California"
"95361",35107,"Oakdale","Stanislaus County","California"
"92675",35099,"San Juan Capistrano","Orange County","California"
"92694",35074,"Ladera Ranch","Orange County","California"
"95377",35001,"Tracy","San Joaquin County","California"
"94523",34964,"Pleasant Hill","Contra Costa County","California"
"92139",34930,"San Diego","San Diego County","California"
"94621",34911,"Oakland","Alameda County","California"
"95834",34892,"Sacramento","Sacramento County","California"
"92612",34868,"Irvine","Orange County","California"
"91340",34822,"San Fernando","Los Angeles County","California"
"94063",34807,"Redwood City","San Mateo County","California"
"95842",34775,"Sacramento","Sacramento County","California"
"96001",34721,"Redding","Shasta County","California"
"92595",34698,"Wildomar","Riverside County","California"
"90029",34649,"Los Angeles","Los Angeles County","California"
"96002",34634,"Redding","Shasta County","California"
"95341",34541,"Merced","Merced County","California"
"91722",34470,"Covina","Los Angeles County","California"
"93060",34337,"Santa Paula","Ventura County","California"
"91321",34305,"Newhall","Los Angeles County","California"
"92103",34296,"San Diego","San Diego County","California"
"92311",34226,"Barstow","San Bernardino County","California"
"92841",34188,"Garden Grove","Orange County","California"
"95482",34183,"Ukiah","Mendocino County","California"
"93314",34156,"Bakersfield","Kern County","California"
"94608",34083,"Emeryville","Alameda County","California"
"94102",34077,"San Francisco","San Francisco County","California"
"91773",34066,"San Dimas","Los Angeles County","California"
"92373",33946,"Redlands","San Bernardino County","California"
"91754",33937,"Monterey Park","Los Angeles County","California"
"91791",33902,"West Covina","Los Angeles County","California"
"94114",33858,"San Francisco","San Francisco County","California"
"92583",33781,"San Jacinto","Riverside County","California"
"93422",33781,"Atascadero","San Luis Obispo County","California"
"94545",33700,"Hayward","Alameda County","California"
"95128",33653,"San Jose","Santa Clara County","California"
"91941",33602,"La Mesa","San Diego County","California"
"92203",33558,"Indio","Riverside County","California"
"90062",33528,"Los Angeles","Los Angeles County","California"
"94952",33519,"Petaluma","Marin County","California"
"93555",33490,"Ridgecrest","Kern County","California"
"91750",33436,"La Verne","Los Angeles County","California"
"94526",33396,"Danville","Contra Costa County","California"
"91007",33367,"Arcadia","Los Angeles County","California"
"94115",33299,"San Francisco","San Francisco County","California"
"90260",33282,"Lawndale","Los Angeles County","California"
"90807",33153,"Long Beach","Los Angeles County","California"
"90008",33076,"Los Angeles","Los Angeles County","California"
"91354",33039,"Valencia","Los Angeles County","California"
"95356",33033,"Modesto","Stanislaus County","California"
"90222",33021,"Compton","Los Angeles County","California"
"90504",32965,"Torrance","Los Angeles County","California"
"92123",32951,"San Diego","San Diego County","California"
"95118",32827,"San Jose","Santa Clara County","California"
"95661",32827,"Roseville","Placer County","California"
"92220",32797,"Banning","Riverside County","California"
"94801",32759,"Richmond","Contra Costa County","California"
"93710",32730,"Fresno","Fresno County","California"
"91351",32677,"Canyon Country","Los Angeles County","California"
"94043",32670,"Mountain View","Santa Clara County","California"
"95961",32663,"Olivehurst","Yuba County","California"
"93955",32610,"Seaside","Monterey County","California"
"93703",32603,"Fresno","Fresno County","California"
"91107",32581,"Pasadena","Los Angeles County","California"
"95662",32436,"Orangevale","Sacramento County","California"
"94610",32404,"Oakland","Alameda County","California"
"94103",32400,"San Francisco","San Francisco County","California"
"91214",32344,"La Crescenta","Los Angeles County","California"
"93618",32334,"Dinuba","Tulare County","California"
"91206",32294,"Glendale","Los Angeles County","California"
"94941",32190,"Mill Valley","Marin County","California"
"91505",32156,"Burbank","Los Angeles County","California"
"93420",32126,"Arroyo Grande","San Luis Obispo County","California"
"91604",32073,"Studio City","Los Angeles County","California"
"90230",32005,"Culver City","Los Angeles County","California"
"91006",31986,"Arcadia","Los Angeles County","California"
"92116",31836,"San Diego","San Diego County","California"
"91423",31787,"Sherman Oaks","Los Angeles County","California"
"93001",31751,"Ventura","Ventura County","California"
"90606",31717,"Whittier","Los Angeles County","California"
"95070",31688,"Saratoga","Santa Clara County","California"
"90803",31659,"Long Beach","Los Angeles County","California"
"94903",31582,"San Rafael","Marin County","California"
"90712",31552,"Lakewood","Los Angeles County","California"
"92405",31550,"San Bernardino","San Bernardino County","California"
"93940",31513,"Monterey","Monterey County","California"
"92881",31401,"Corona","Riverside County","California"
"95131",31335,"San Jose","Santa Clara County","California"
"94070",31312,"San Carlos","San Mateo County","California"
"95829",31297,"Sacramento","Sacramento County","California"
"95358",31268,"Modesto","Stanislaus County","California"
"95632",31217,"Galt","Sacramento County","California"
"91792",31208,"West Covina","Los Angeles County","California"
"96080",31190,"Red Bluff","Tehama County","California"
"93004",31151,"Ventura","Ventura County","California"
"92124",31121,"San Diego","San Diego County","California"
"94602",31104,"Oakland","Alameda County","California"
"90680",31102,"Stanton","Orange County","California"
"93561",31060,"Tehachapi","Kern County","California"
"92260",31039,"Palm Desert","Riverside County","California"
"90028",30982,"Los Angeles","Los Angeles County","California"
"92679",30971,"Trabuco Canyon","Orange County","California"
"95134",30916,"San Jose","Santa Clara County","California"
"92110",30773,"San Diego","San Diego County","California"
"91607",30734,"Valley Village","Los Angeles County","California"
"90601",30667,"Whittier","Los Angeles County","California"
"92316",30656,"Bloomington","San Bernardino County","California"
"92673",30633,"San Clemente","Orange County","California"
"91303",30611,"Canoga Park","Los Angeles County","California"
"91356",30599,"Tarzana","Los Angeles County","California"
"95824",30556,"Sacramento","Sacramento County","California"
"93654",30476,"Reedley","Fresno County","California"
"95204",30406,"Stockton","San Joaquin County","California"
"94107",30340,"San Francisco","San Francisco County","California"
"91355",30289,"Valencia","Los Angeles County","California"
"92120",30241,"San Diego","San Diego County","California"
"93662",30191,"Selma","Fresno County","California"
"95219",30165,"Stockton","San Joaquin County","California"
"95966",30108,"Oroville","Butte County","California"
"95330",30051,"Lathrop","San Joaquin County","California"
"94589",29959,"Vallejo","Solano County","California"
"92653",29923,"Laguna Hills","Orange County","California"
"93101",29870,"Santa Barbara","Santa Barbara County","California"
"92782",29838,"Tustin","Orange County","California"
"95363",29784,"Patterson","Stanislaus County","California"
"95682",29750,"Shingle Springs","El Dorado County","California"
"91324",29744,"Northridge","Los Angeles County","California"
"92614",29544,"Irvine","Orange County","California"
"93704",29502,"Fresno","Fresno County","California"
"93901",29498,"Salinas","Monterey County","California"
"92081",29475,"Vista","San Diego County","California"
"96150",29457,"South Lake Tahoe","El Dorado County","California"
"92107",29435,"San Diego","San Diego County","California"
"91746",29429,"La Puente","Los Angeles County","California"
"94585",29401,"Suisun City","Solano County","California"
"94580",29377,"San Lorenzo","Alameda County","California"
"90302",29307,"Inglewood","Los Angeles County","California"
"92604",29080,"Irvine","Orange County","California"
"91803",29006,"Alhambra","Los Angeles County","California"
"93401",28773,"San Luis Obispo","San Luis Obispo County","California"
"91364",28765,"Woodland Hills","Los Angeles County","California"
"90017",28754,"Los Angeles","Los Angeles County","California"
"95133",28749,"San Jose","Santa Clara County","California"
"94131",28705,"San Francisco","San Francisco County","California"
"95117",28663,"San Jose","Santa Clara County","California"
"90061",28646,"Los Angeles","Los Angeles County","California"
"92173",28609,"San Ysidro","San Diego County","California"
"95677",28591,"Rocklin","Placer County","California"
"91724",28575,"Covina","Los Angeles County","California"
"95370",28548,"Sonora","Tuolumne County","California"
"91316",28497,"Encino","Los Angeles County","California"
"94549",28456,"Lafayette","Contra Costa County","California"
"95472",28443,"Sebastopol","Sonoma County","California"
"90713",28439,"Lakewood","Los Angeles County","California"
"95603",28366,"Auburn","Placer County","California"
"90041",28321,"Los Angeles","Los Angeles County","California"
"94518",28287,"Concord","Contra Costa County","California"
"90039",28244,"Los Angeles","Los Angeles County","California"
"94559",28224,"Napa","Napa County","California"
"91731",28201,"El Monte","Los Angeles County","California"
"95492",28096,"Windsor","Sonoma County","California"
"90038",27979,"Los Angeles","Los Angeles County","California"
"94002",27893,"Belmont","San Mateo County","California"
"95212",27848,"Stockton","San Joaquin County","California"
"94306",27785,"Palo Alto","Santa Clara County","California"
"95032",27678,"Los Gatos","Santa Clara County","California"
"91384",27652,"Castaic","Los Angeles County","California"
"90746",27643,"Carson","Los Angeles County","California"
"94132",27641,"San Francisco","San Francisco County","California"
"91945",27541,"Lemon Grove","San Diego County","California"
"92227",27540,"Brawley","Imperial County","California"
"90710",27517,"Harbor City","Los Angeles County","California"
"91504",27479,"Burbank","Los Angeles County","California"
"92532",27454,"Lake Elsinore","Riverside County","California"
"95242",27433,"Lodi","San Joaquin County","California"
"95945",27388,"Grass Valley","Nevada County","California"
"92008",27373,"Carlsbad","San Diego County","California"
"92277",27370,"Twentynine Palms","San Bernardino County","California"
"93280",27356,"Wasco","Kern County","California"
"92868",27280,"Orange","Orange County","California"
"94510",27223,"Benicia","Solano County","California"
"93933",27197,"Marina","Monterey County","California"
"94803",27171,"El Sobrante","Contra Costa County","California"
"91103",27167,"Pasadena","Los Angeles County","California"
"91740",27131,"Glendora","Los Angeles County","California"
"91042",27119,"Tujunga","Los Angeles County","California"
"92585",27083,"Menifee","Riverside County","California"
"92251",27050,"Imperial","Imperial County","California"
"94607",27019,"Oakland","Alameda County","California"
"94619",27018,"Oakland","Alameda County","California"
"90405",26981,"Santa Monica","Los Angeles County","California"
"94506",26947,"Danville","Contra Costa County","California"
"95618",26946,"Davis","Yolo County","California"
"92411",26915,"San Bernardino","San Bernardino County","California"
"91010",26825,"Duarte","Los Angeles County","California"
"92211",26741,"Palm Desert","Riverside County","California"
"92835",26687,"Fullerton","Orange County","California"
"92602",26663,"Irvine","Orange County","California"
"90035",26595,"Los Angeles","Los Angeles County","California"
"91030",26583,"South Pasadena","Los Angeles County","California"
"93725",26568,"Fresno","Fresno County","California"
"94062",26531,"Redwood City","San Mateo County","California"
"95815",26523,"Sacramento","Sacramento County","California"
"94530",26483,"El Cerrito","Contra Costa County","California"
"93105",26482,"Santa Barbara","Santa Barbara County","California"
"91755",26418,"Monterey Park","Los Angeles County","California"
"95776",26352,"Woodland","Yolo County","California"
"94598",26346,"Walnut Creek","Contra Costa County","California"
"91302",26318,"Calabasas","Los Angeles County","California"
"93035",26286,"Oxnard","Ventura County","California"
"95409",26158,"Santa Rosa","Sonoma County","California"
"91932",26157,"Imperial Beach","San Diego County","California"
"94402",26150,"San Mateo","San Mateo County","California"
"92629",26144,"Dana Point","Orange County","California"
"91784",26116,"Upland","San Bernardino County","California"
"91741",26052,"Glendora","Los Angeles County","California"
"94547",26041,"Hercules","Contra Costa County","California"
"92832",26040,"Fullerton","Orange County","California"
"93960",26037,"Soledad","Monterey County","California"
"90240",26026,"Downey","Los Angeles County","California"
"90064",25956,"Los Angeles","Los Angeles County","California"
"90602",25949,"Whittier","Los Angeles County","California"
"90249",25929,"Gardena","Los Angeles County","California"
"91403",25887,"Sherman Oaks","Los Angeles County","California"
"92262",25856,"Palm Springs","Riverside County","California"
"92284",25741,"Yucca Valley","San Bernardino County","California"
"95864",25728,"Sacramento","Sacramento County","California"
"90304",25725,"Inglewood","Los Angeles County","California"
"94704",25711,"Berkeley","Alameda County","California"
"90291",25656,"Venice","Los Angeles County","California"
"95215",25647,"Stockton","San Joaquin County","California"
"90015",25554,"Los Angeles","Los Angeles County","California"
"94133",25460,"San Francisco","San Francisco County","California"
"91307",25368,"West Hills","Los Angeles County","California"
"92860",25367,"Norco","Riverside County","California"
"91301",25244,"Agoura Hills","Los Angeles County","California"
"94947",25183,"Novato","Marin County","California"
"94609",25175,"Oakland","Alameda County","California"
"95367",25162,"Riverbank","Stanislaus County","California"
"93907",25124,"Salinas","Monterey County","California"
"95354",25100,"Modesto","Stanislaus County","California"
"93405",24991,"San Luis Obispo","San Luis Obispo County","California"
"95003",24977,"Aptos","Santa Cruz County","California"
"90270",24950,"Maywood","Los Angeles County","California"
"90274",24942,"Palos Verdes Peninsula","Los Angeles County","California"
"96007",24849,"Anderson","Shasta County","California"
"94123",24721,"San Francisco","San Francisco County","California"
"90740",24604,"Seal Beach","Orange County","California"
"90292",24481,"Marina Del Rey","Los Angeles County","California"
"92011",24472,"Carlsbad","San Diego County","California"
"95054",24444,"Santa Clara","Santa Clara County","California"
"92606",24431,"Irvine","Orange County","California"
"92119",24419,"San Diego","San Diego County","California"
"92108",24201,"San Diego","San Diego County","California"
"91775",24169,"San Gabriel","Los Angeles County","California"
"90403",24092,"Santa Monica","Los Angeles County","California"
"95503",24072,"Eureka","Humboldt County","California"
"94024",24041,"Los Altos","Santa Clara County","California"
"92651",23981,"Laguna Beach","Orange County","California"
"90404",23975,"Santa Monica","Los Angeles County","California"
"91106",23813,"Pasadena","Los Angeles County","California"
"93610",23795,"Chowchilla","Madera County","California"
"94596",23795,"Walnut Creek","Contra Costa County","California"
"95405",23748,"Santa Rosa","Sonoma County","California"
"95501",23706,"Eureka","Humboldt County","California"
"95391",23696,"Tracy","Alameda County","California"
"91411",23689,"Van Nuys","Los Angeles County","California"
"90720",23673,"Los Alamitos","Orange County","California"
"94597",23654,"Walnut Creek","Contra Costa County","California"
"94089",23447,"Sunnyvale","Santa Clara County","California"
"93212",23391,"Corcoran","Kings County","California"
"90303",23370,"Inglewood","Los Angeles County","California"
"91737",23108,"Rancho Cucamonga","San Bernardino County","California"
"93041",23108,"Port Hueneme","Ventura County","California"
"95818",23062,"Sacramento","Sacramento County","California"
"92354",23054,"Loma Linda","San Bernardino County","California"
"95531",23029,"Crescent City","Del Norte County","California"
"94085",22996,"Sunnyvale","Santa Clara County","California"
"93263",22952,"Shafter","Kern County","California"
"91202",22831,"Glendale","Los Angeles County","California"
"94030",22825,"Millbrae","San Mateo County","California"
"95746",22743,"Granite Bay","Placer County","California"
"92844",22622,"Garden Grove","Orange County","California"
"91201",22163,"Glendale","Los Angeles County","California"
"92501",22136,"Riverside","Riverside County","California"
"93444",22079,"Nipomo","San Luis Obispo County","California"
"90732",22078,"San Pedro","Los Angeles County","California"
"95620",22004,"Dixon","Solano County","California"
"92582",21961,"San Jacinto","Riverside County","California"
"92663",21886,"Newport Beach","Orange County","California"
"94503",21791,"American Canyon","Napa County","California"
"90717",21788,"Lomita","Los Angeles County","California"
"95521",21712,"Arcata","Humboldt County","California"
"95841",21542,"Sacramento","Sacramento County","California"
"96130",21460,"Susanville","Lassen County","California"
"95135",21402,"San Jose","Santa Clara County","California"
"93560",21300,"Rosamond","Kern County","California"
"90272",21298,"Pacific Palisades","Los Angeles County","California"
"93023",21279,"Ojai","Ventura County","California"
"92371",21265,"Phelan","San Bernardino County","California"
"95949",21232,"Grass Valley","Nevada County","California"
"92225",21189,"Blythe","Riverside County","California"
"94127",21184,"San Francisco","San Francisco County","California"
"92865",21140,"Orange","Orange County","California"
"95827",21084,"Sacramento","Sacramento County","California"
"92808",21080,"Anaheim","Orange County","California"
"90068",21064,"Los Angeles","Los Angeles County","California"
"90715",20949,"Lakewood","Los Angeles County","California"
"92377",20935,"Rialto","San Bernardino County","California"
"91040",20911,"Sunland","Los Angeles County","California"
"90603",20883,"Whittier","Los Angeles County","California"
"91381",20864,"Stevenson Ranch","Los Angeles County","California"
"94706",20860,"Albany","Alameda County","California"
"95965",20835,"Oroville","Butte County","California"
"93203",20781,"Arvin","Kern County","California"
"90814",20723,"Long Beach","Los Angeles County","California"
"92082",20678,"Valley Center","San Diego County","California"
"92106",20483,"San Diego","San Diego County","California"
"92344",20448,"Hesperia","San Bernardino County","California"
"92617",20432,"Irvine","Orange County","California"
"90048",20411,"Los Angeles","Los Angeles County","California"
"94703",20404,"Berkeley","Alameda County","California"
"91011",20389,"La Canada Flintridge","Los Angeles County","California"
"92887",20353,"Yorba Linda","Orange County","California"
"95110",20314,"San Jose","Santa Clara County","California"
"93630",20272,"Kerman","Fresno County","California"
"94579",20272,"San Leandro","Alameda County","California"
"92264",20229,"Palm Springs","Riverside County","California"
"94519",20162,"Concord","Contra Costa County","California"
"92586",20152,"Menifee","Riverside County","California"
"94022",20052,"Los Altos","Santa Clara County","California"
"90069",20045,"West Hollywood","Los Angeles County","California"
"92029",19986,"Escondido","San Diego County","California"
"93927",19983,"Greenfield","Monterey County","California"
"91602",19980,"North Hollywood","Los Angeles County","California"
"95819",19806,"Sacramento","Sacramento County","California"
"91101",19737,"Pasadena","Los Angeles County","California"
"93103",19653,"Santa Barbara","Santa Barbara County","California"
"91506",19559,"Burbank","Los Angeles County","California"
"90254",19551,"Hermosa Beach","Los Angeles County","California"
"95138",19420,"San Jose","Santa Clara County","California"
"94563",19416,"Orinda","Contra Costa County","California"
"92603",19329,"Irvine","Orange County","California"
"90210",19180,"Beverly Hills","Los Angeles County","California"
"96161",19146,"Truckee","Nevada County","California"
"91501",18951,"Burbank","Los Angeles County","California"
"94564",18946,"Pinole","Contra Costa County","California"
"93210",18937,"Coalinga","Fresno County","California"
"91390",18930,"Santa Clarita","Los Angeles County","California"
"92587",18926,"Menifee","Riverside County","California"
"95519",18781,"Mckinleyville","Humboldt County","California"
"91361",18753,"Westlake Village","Ventura County","California"
"93015",18716,"Fillmore","Ventura County","California"
"91901",18669,"Alpine","San Diego County","California"
"95602",18610,"Auburn","Placer County","California"
